-5,0
23.5,3
36.7,6
54.9,9
71.4,12
83.6,15
92.3,18
101.7,21
113.1,24
122.5,27
132.3,30
-28.5,-3
-47.2,-6
-61.7,-9
-74.2,-12
-87.3,-15
-102.2,-18
-116.5,-21
-121.8,-24
-130,-27
-142.9,-30
